seed,metric,b0,b1,difference_b1_minus_b0
0,net_sharpe_20bp,0.3095465210991424,0.6958450219470965,0.38629850084795414
0,cost_share_of_gross_20bp,0.4428121862246054,0.11286419441077863,-0.3299479918138267
1,rebalances,403.0,96.0,-307.0
1,scheduled_rebalances,403.0,96.0,-307.0
1,gross_sharpe,0.5454220973718985,0.7901030948367112,0.24468099746481264
1,net_sharpe_10bp,0.37735969974068534,0.7431124225077724,0.3657527227670871
1,annualised_turnover,6.878973413683092,2.356454081632653,-4.522519332050439
1,cost_share_of_gross,0.30793515267137783,0.0593075434491787,-0.24862760922219912
1,net_max_drawdown,-0.18202721381121245,-0.10955336950237438,0.07247384430883808
1,gross_max_drawdown,-0.17016900038502947,-0.10642220122149271,0.06374679916353676
1,gross_total_return,0.5581419590133134,0.9591418449147053,0.4009998859013919
1,net_total_return,0.38140115237245586,1.262172272366254,0.8807711199937982
1,gross_cagr,0.06384310245124136,0.11527150764394811,0.05142840519270675
1,net_cagr,0.04123481640068705,0.1074285340309653,0.06619371763027826
1,holding_duration_rebalances,7.3997689196995955,4.809523809523809,-2.590245110175786
1,holding_duration_sessions,36.998844598497975,101.0,64.00115540150202
1,names_changed_per_rebalance,12.917910447761194,19.010526315789473,6.092615868028279
1,long_leg_retention,0.8716059751580765,0.8329045578794347,-0.038701417278641737
1,short_leg_retention,0.864607974103067,0.7853143728887434,-0.0792936012143236
1,names_replaced_both_legs_fraction,0.13189302536942848,0.19089053461591074,0.058997509246482255
1,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
1,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
1,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
1,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
1,signal_age_median_sessions,5.0,7.0,2.0
1,signal_age_p95_sessions,5.0,9.0,4.0
1,signal_age_max_sessions,1935.0,644.0,-1291.0
1,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
1,net_sharpe_1bp,0.4740954255035108,0.7711156946663241,0.2970202691628133
1,cost_share_of_gross_1bp,0.13054644351989217,0.023929107031854212,-0.10661733648803795
1,net_sharpe_3bp,0.45260026551232563,0.7648926960592165,0.3122924305468909
1,cost_share_of_gross_3bp,0.16996615666466677,0.03179098179125965,-0.13817517487340714
1,net_sharpe_5bp,0.4311040113903377,0.7586697220981138,0.32756571070777607
1,cost_share_of_gross_5bp,0.20938586980944138,0.0396528565506651,-0.16973301325877627
1,cost_share_of_gross_10bp,0.30793515267137783,0.0593075434491787,-0.24862760922219912
1,net_sharpe_20bp,0.26986431122377896,0.7119986256837988,0.44213431446001983
1,cost_share_of_gross_20bp,0.5050337183952507,0.09861691724620592,-0.40641680114904477
2,rebalances,403.0,96.0,-307.0
2,scheduled_rebalances,403.0,96.0,-307.0
2,gross_sharpe,0.481650696190322,0.9063816734435214,0.42473097725319936
2,net_sharpe_10bp,0.3133548596870488,0.8473230154377758,0.533968155750727
2,annualised_turnover,6.853756823821341,2.2864795918367347,-4.5672772319846064
2,cost_share_of_gross,0.34911562966965914,0.06485281703455596,-0.28426281263510317
2,net_max_drawdown,-0.14976307349371287,-0.09998438210135818,0.04977869139235469
2,gross_max_drawdown,-0.14525135205560247,-0.09278009493787942,0.05247125711772305
2,gross_total_return,0.49063446250319315,0.8518350011047279,0.3612005386015347
2,net_total_return,0.2922746945412966,1.0994370862757434,0.8071623917344468
2,gross_cagr,0.05493628962373931,0.10469179540822005,0.049755505784480736
2,net_cagr,0.03258607220035992,0.09714204385966974,0.06455597165930982
2,holding_duration_rebalances,7.450028996713706,4.970857142857143,-2.4791718538565632
2,holding_duration_sessions,37.25014498356853,104.38799999999999,67.13785501643146
2,names_changed_per_rebalance,12.868159203980099,18.42105263157895,5.55289342759885
2,long_leg_retention,0.8740322790129518,0.8344194860085324,-0.03961279300441933
2,short_leg_retention,0.863182787112848,0.7957481903516552,-0.06743459676119279
2,names_replaced_both_legs_fraction,0.13139246693710033,0.18491616181990592,0.05352369488280559
2,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
2,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
2,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
2,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
2,signal_age_median_sessions,5.0,7.0,2.0
2,signal_age_p95_sessions,5.0,9.0,4.0
2,signal_age_max_sessions,1935.0,644.0,-1291.0
2,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
2,net_sharpe_1bp,0.41022122546712486,0.8824959924513324,0.4722747669842075
2,cost_share_of_gross_1bp,0.14805934358274195,0.026200606125461115,-0.12185873745728083
2,net_sharpe_3bp,0.38869419583932174,0.8746792237086951,0.48598502786937336
2,cost_share_of_gross_3bp,0.1927385182687236,0.03478998632748219,-0.15794853194124142
